activity,timestamp,x-axis,y-axis,z-axis
JOGGING,1570715245,8.860091,11.654647,-8.520328
JOGGING,1570715245,6.4094796,13.835182,-7.5422606
JOGGING,1570715245,3.5065422,12.030519,-4.043683
JOGGING,1570715245,-8.444468,6.97999,6.971141
JOGGING,1570715245,-10.699104,-1.947298,14.1328535
JOGGING,1570715245,-3.9080102,-7.1150627,1.7251393
JOGGING,1570715245,16.635483,-18.995955,-13.909926
JOGGING,1570715245,11.599566,5.6619587,-21.396215
JOGGING,1570715245,6.7431726,-9.726901,-5.021514
JOGGING,1570715245,-5.10517,-17.485268,0.79325694
JOGGING,1570715245,-11.873217,-8.438619,-1.0413666
JOGGING,1570715245,-1.6977261,-2.8622541,7.934612
JOGGING,1570715245,2.031718,0.2429285,12.928573
JOGGING,1570715246,-4.7597013,5.2341757,4.6444693
JOGGING,1570715246,-8.623427,7.4478703,13.255854
JOGGING,1570715246,-7.7627068,8.713903,8.107208
JOGGING,1570715246,-4.1189785,9.813458,7.6022134
JOGGING,1570715246,-0.4502713,7.881138,6.328033
JOGGING,1570715246,-4.7180057,0.77277756,-0.76620066
JOGGING,1570715246,-3.17057,-28.970058,-10.859727
JOGGING,1570715246,3.0616348,-8.363585,-7.061463
JOGGING,1570715246,5.1419086,-13.834184,5.2034173
JOGGING,1570715246,-5.0576744,-8.997461,-0.2823124
JOGGING,1570715246,-2.5115476,-5.4699507,-6.888847
JOGGING,1570715246,6.959086,1.0117064,-11.474188
JOGGING,1570715246,9.639393,11.988861,-9.299089
JOGGING,1570715246,7.138857,15.53114,-10.563544
JOGGING,1570715246,1.7285107,14.640685,-7.2916684
JOGGING,1570715246,-7.987621,7.2121067,-1.1444557
JOGGING,1570715246,-10.785456,-1.1169653,23.546616
JOGGING,1570715246,-9.61338,4.020561,-0.96362746
JOGGING,1570715246,2.345665,-4.5819483,-6.6758385
JOGGING,1570715246,5.5076056,-4.931368,-7.2964025
JOGGING,1570715246,7.6826935,8.496615,-21.647257
JOGGING,1570715246,4.822574,-11.05156,-11.057059
JOGGING,1570715246,-4.6220937,-11.07178,-4.7180963
JOGGING,1570715246,-8.012351,-6.5286455,3.3061175
JOGGING,1570715246,3.8026097,-8.528059,14.931401
JOGGING,1570715246,7.4115,-1.7160683,13.409595
JOGGING,1570715246,-5.9220657,5.8710823,5.6767383
JOGGING,1570715246,-12.994618,9.797528,10.091738
JOGGING,1570715246,-6.0866146,8.6572895,7.048912
JOGGING,1570715246,-1.6378167,9.032522,6.794991
JOGGING,1570715246,-0.7964233,8.112385,1.840397
JOGGING,1570715246,-4.5166326,-1.1624117,-1.189882
JOGGING,1570715246,0.4671616,-28.841494,-7.480747
JOGGING,1570715247,7.3455973,-8.565283,-6.906252
JOGGING,1570715247,7.097131,-10.633786,8.182976
JOGGING,1570715247,-5.8407288,-8.233864,-0.22981048
JOGGING,1570715247,-5.1716037,-4.5087414,-5.344275
JOGGING,1570715247,3.4802625,1.8939734,-9.124848
JOGGING,1570715247,6.0626154,9.497513,-11.663399
JOGGING,1570715247,3.4973643,13.699904,-11.095375
JOGGING,1570715247,1.8878766,11.985347,-6.2837124
JOGGING,1570715247,-6.83272,7.121149,-1.4723083
JOGGING,1570715247,-5.3177056,-0.6832228,20.094294
JOGGING,1570715247,-3.9349682,4.6222963,8.9579
JOGGING,1570715247,2.5350165,-0.6739769,-6.2447214
JOGGING,1570715247,13.894495,-22.166275,-9.8428955
JOGGING,1570715247,2.002403,6.2044277,-13.039273
JOGGING,1570715247,3.1448278,-7.9616823,-12.877199
JOGGING,1570715247,-1.3848972,-13.054664,-4.264275
JOGGING,1570715247,-8.297625,-7.3013897,4.231621
JOGGING,1570715247,-0.16158971,-7.217944,10.120624
JOGGING,1570715247,9.02286,-2.0957937,15.229707
JOGGING,1570715247,-3.6130826,2.4066753,5.854425
JOGGING,1570715247,-14.3922415,8.013767,11.054671
JOGGING,1570715247,-11.156515,8.254738,10.600147
JOGGING,1570715247,-1.070688,8.678618,7.2769704
JOGGING,1570715247,2.4620562,8.45127,3.865856
JOGGING,1570715247,1.4101515,3.735301,2.1196752
JOGGING,1570715247,-4.735869,-23.814377,-2.4948802
JOGGING,1570715247,-0.6396146,-8.947552,-9.934741
JOGGING,1570715247,3.5993533,-4.918852,4.9636374
JOGGING,1570715247,-1.6417001,-8.545861,2.4196365
JOGGING,1570715247,-8.428572,-7.4771433,-4.5896893
JOGGING,1570715247,1.8743742,-1.2929277,-9.682632
JOGGING,1570715247,7.6891584,8.903809,-11.019652
JOGGING,1570715247,7.0116425,13.892983,-12.021837
JOGGING,1570715247,4.272348,11.704647,-4.2459917
JOGGING,1570715248,-5.6584396,7.296055,-0.58622456
JOGGING,1570715248,-9.397991,-0.31845093,21.03963
JOGGING,1570715248,-7.080333,2.026534,8.850894
JOGGING,1570715248,3.1135244,0.42141056,-14.775898
JOGGING,1570715248,14.241417,-12.95597,-14.542668
JOGGING,1570715248,0.9262953,1.6077805,-17.3338
JOGGING,1570715248,0.4747296,-11.327202,-9.05473
JOGGING,1570715248,-2.8202243,-8.712267,-3.4228995
JOGGING,1570715248,-3.7354276,-10.160531,3.4791315
JOGGING,1570715248,5.8002443,-8.4526,11.912366
JOGGING,1570715248,6.4833784,-1.0049934,13.656527
JOGGING,1570715248,-5.9572206,4.31796,3.2547002
JOGGING,1570715248,-15.87477,8.700658,12.119695
JOGGING,1570715248,-7.1172028,8.147342,7.5112624
JOGGING,1570715248,2.5315125,9.359174,7.599853
JOGGING,1570715248,4.021468,7.779438,4.677162
JOGGING,1570715248,1.1438305,1.9411106,-1.5234478
JOGGING,1570715248,0.9558247,-28.782772,-6.944768
JOGGING,1570715248,3.5055568,-9.84525,-5.8857784
JOGGING,1570715248,3.4002664,-12.039031,5.8620815
JOGGING,1570715248,-6.4315166,-12.563055,-1.4254608
JOGGING,1570715248,-4.197275,-4.6182013,-2.661396
JOGGING,1570715248,2.4717364,1.2257233,-9.96678
JOGGING,1570715248,7.0251718,7.494076,-10.844538
JOGGING,1570715248,3.91578,12.942271,-8.9132595
JOGGING,1570715248,3.1919746,13.180906,-5.6209974
JOGGING,1570715248,-2.925529,9.748177,-4.4271994
JOGGING,1570715248,-5.1273227,3.0623722,14.699775
JOGGING,1570715248,-2.8063574,4.3447905,3.8815656
